weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,message,rain.1h
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627806148.0,7200.0,2521847.0,Almuñécar,200,-3.6907,36.7339,80.56,80.24,74.32,83.97,1014.0,39.0,1.07,164.0,3.62,70.0,2.0,2002005.0,ES,1627795231.0,1627845691.0,1014.0,1012.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627806388.0,-36000.0,4035715.0,Avarua,200,-159.775,-21.2078,77.05,77.88,77.05,77.05,1013.0,73.0,16.11,60.0,,100.0,1.0,7271.0,CK,1627751446.0,1627791600.0,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1627806312.0,0.0,2278158.0,Buchanan,200,-10.0467,5.8808,73.36,74.3,73.36,73.36,1016.0,83.0,9.82,204.0,13.56,100.0,1.0,2389.0,LR,1627799717.0,1627844256.0,1016.0,1015.0,,0.31
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806389.0,10800.0,525426.0,Sobolevo,200,31.8996,54.4299,66.33,66.74,66.33,66.33,1010.0,87.0,9.75,189.0,19.39,100.0,,,RU,1627783432.0,1627840407.0,1010.0,988.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806389.0,18000.0,1337619.0,Ugoofaaru,200,73.0,5.6667,81.97,87.73,81.97,81.97,1011.0,76.0,10.18,291.0,11.36,100.0,,,MV,1627779801.0,1627824310.0,1011.0,1011.0,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627806389.0,-28800.0,5880054.0,Barrow,200,-156.7887,71.2906,51.82,50.65,51.82,51.82,1000.0,84.0,4.61,260.0,,20.0,1.0,7649.0,US,1627814733.0,1627899674.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627806389.0,43200.0,6201424.0,Mataura,200,168.8643,-46.1927,44.47,44.47,44.47,44.47,1009.0,99.0,2.19,99.0,2.24,100.0,2.0,2008959.0,NZ,1627761905.0,1627796194.0,1009.0,1003.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627806389.0,-10800.0,3429594.0,Reconquista,200,-59.65,-29.15,48.25,46.63,48.25,48.25,1029.0,78.0,4.29,163.0,4.36,0.0,,,AR,1627814542.0,1627853240.0,1029.0,1023.0,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627806389.0,10800.0,178093.0,Witu,200,40.4382,-2.3889,80.76,82.09,80.76,80.76,1019.0,55.0,17.81,174.0,26.04,73.0,1.0,5604.0,KE,1627788247.0,1627831494.0,1019.0,1017.0,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627806389.0,-14400.0,5106841.0,Albany,200,-73.9662,42.6001,55.51,54.84,49.48,59.59,1012.0,87.0,3.13,182.0,3.33,39.0,2.0,19530.0,US,1627811278.0,1627863376.0,,,,
